GAME_ID_HOME,EXPERT_RANK_HOME,EXPERT_RANK_AWAY
21700185,8,24
21700168,8,4
21700155,8,28
21700135,8,1
21700127,8,18
21700114,8,10
21700047,8,7
21700035,8,23
21701182,24,17
21701170,24,19
21701129,24,30
21701117,24,28
21701090,24,25
21701073,24,20
21701058,24,10
21701029,24,6
21701016,24,13
21700936,24,16
21700926,24,21
21700914,24,10
21700868,24,27
21700854,24,17
21700827,24,13
21700811,24,29
21700797,24,2
21700778,24,7
21700754,24,22
21700696,24,23
21700649,24,9
21700582,24,2
21700554,24,3
21700531,24,18
21700516,24,21
21700472,24,15
21700420,24,14
21700405,24,11
21700370,24,8
21700355,24,29
21700318,24,1
21700304,24,4
21700243,24,26
21700229,24,12
21700160,24,27
21700138,24,6
21700120,24,30
21700071,24,5
21700050,24,28
21700005,24,18
21701208,13,24
21701178,13,28
21701162,13,6
21701095,13,5
21701070,13,11
21701041,13,29
21700981,13,27
21700968,13,3
21700947,13,20
